x1,y1,r1,g1,b1,x2,y2,r2,g2,b2,x3,y3,r3,g3,b3
486,93,0,40,40,469,138,0,40,40,449,89,64,38,38
469,138,0,40,40,486,93,0,40,40,523,124,64,37,37
408,253,0,29,29,492,249,0,72,72,494,279,64,67,67
492,249,0,72,72,408,253,0,29,29,485,219,64,47,47
1211,1087,0,146,146,1208,1112,0,184,184,1183,1069,64,138,138
1146,896,0,175,175,1161,957,0,178,178,1108,950,64,59,59
1161,957,0,178,178,1146,896,0,175,175,1193,890,64,201,201
1215,854,0,133,133,1176,863,0,133,133,1214,795,64,31,31
1176,863,0,133,133,1215,854,0,133,133,1193,890,64,201,201
1139,192,0,172,172,1092,180,0,167,167,1130,150,64,215,215
1092,180,0,167,167,1139,192,0,172,172,1113,232,64,163,163
990,148,0,132,132,969,189,0,147,147,932,163,64,149,149
990,148,0,132,132,932,163,0,149,149,958,115,64,139,139
1163,574,0,176,176,1167,544,0,203,203,1191,558,64,187,187
1167,544,0,203,203,1163,574,0,176,176,1139,546,64,212,212
1181,491,0,191,191,1215,483,0,203,203,1196,508,64,206,206
1290,647,0,79,79,1331,537,0,149,149,1385,545,64,185,185
1331,537,0,149,149,1290,647,0,79,79,1284,553,64,181,181
315,1139,0,75,75,332,1105,0,73,73,354,1119,64,67,67
332,1105,0,73,73,315,1139,0,75,75,306,1103,64,100,100
1718,1080,0,138,138,1672,863,0,146,146,1721,879,64,152,152
1740,860,0,214,214,1704,848,0,235,235,1731,834,64,194,194
1823,799,0,239,239,1773,826,0,118,118,1792,792,64,188,188
1601,794,0,150,150,1560,789,0,35,35,1591,758,64,125,125
1494,1011,0,207,207,1561,821,0,233,233,1613,834,64,175,175
1416,832,0,172,172,1457,801,0,111,111,1469,844,64,41,41
187,298,0,61,61,192,333,0,67,67,152,315,64,68,68
192,333,0,67,67,187,298,0,61,61,215,318,64,68,68
416,692,0,6,6,340,637,0,7,7,380,563,64,8,8
340,637,0,7,7,416,692,0,6,6,302,710,64,7,7
206,586,0,9,9,218,491,0,6,6,281,591,64,8,8
218,491,0,6,6,206,586,0,9,9,171,536,64,7,7
152,315,0,68,68,192,333,0,67,67,164,343,64,76,76
121,318,0,75,75,96,293,0,70,70,126,297,64,67,67
96,293,0,70,70,121,318,0,75,75,92,320,64,72,72
138,203,0,27,27,160,177,0,33,33,175,202,64,38,38
160,177,0,33,33,138,203,0,27,27,133,170,64,43,43
1304,29,0,239,239,1291,58,0,210,210,1253,67,64,238,238
1291,58,0,210,210,1304,29,0,239,239,1329,50,64,233,233
1035,87,0,204,204,1304,29,0,239,239,1101,88,64,195,195
469,138,0,40,40,514,169,0,54,54,480,181,64,63,63
514,169,0,54,54,469,138,0,40,40,523,124,64,37,37
485,219,0,47,47,513,205,0,76,76,514,243,64,67,67
513,205,0,76,76,485,219,0,47,47,480,181,64,63,63
469,138,0,40,40,419,125,0,40,40,449,89,64,38,38
1023,192,0,118,118,1042,132,0,72,72,1092,180,64,167,167
1042,132,0,72,72,1023,192,0,118,118,990,148,64,132,132
1175,164,0,214,214,1139,192,0,172,172,1130,150,64,215,215
1139,192,0,172,172,1175,164,0,214,214,1181,196,64,235,235
1750,213,0,44,44,1715,349,0,135,135,1695,212,64,96,96
1715,349,0,135,135,1750,213,0,44,44,1794,326,64,176,176
1510,87,0,172,172,1558,109,0,157,157,1506,123,64,160,160
176,120,0,35,35,213,119,0,41,41,181,127,64,36,36
370,103,0,39,39,384,146,0,39,39,331,135,64,33,33
